property_type,sector,area,areaWithType,bedRoom,bathroom,balcony,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,store room,furnishing_type,area_room_ratio,luxury_category,floor_category,price
0.0,100.0,1929.0,1626.0,3,4,4.0,6.0,3.0,1929.0,1580.0,1450.0,0,1,0,643.0,0.0,0.0,1.56
0.0,10.0,1130.0,1495.0,3,4,4.0,3.0,3.0,1760.0,1186.0,1130.0,1,0,1,376.6666666666667,0.0,2.0,1.1
0.0,67.0,1632.0,1362.0,2,2,1.0,2.0,3.0,1632.0,1432.0,1232.0,0,0,1,816.0,2.0,2.0,2.2
0.0,107.0,2325.0,1883.0,4,4,4.0,7.0,3.0,2325.0,1920.0,1750.0,1,0,0,581.25,1.0,2.0,1.9
0.0,2.0,2588.0,1997.0,3,3,4.0,4.0,0.0,2588.0,1900.0,1877.0,1,0,0,862.6666666666666,2.0,2.0,0.86
0.0,87.0,1124.0,1230.0,2,2,4.0,4.0,3.0,1406.0,1300.0,1124.0,0,0,0,562.0,2.0,0.0,1.55
0.0,97.0,1050.0,1055.0,2,2,2.0,4.0,3.0,1050.0,950.0,850.0,0,0,1,525.0,0.0,1.0,0.65
0.0,19.0,1330.0,1154.0,2,2,3.0,2.0,1.0,1330.0,1276.0,1180.0,0,0,0,665.0,0.0,1.0,1.55
0.0,57.0,2182.0,1826.0,3,4,3.0,5.0,0.0,2182.0,1750.75,1670.0,1,0,1,727.3333333333334,2.0,2.0,1.98
0.0,99.0,1635.0,1372.0,2,2,3.0,6.0,3.0,1640.0,1638.0,1635.0,0,1,0,817.5,0.0,2.0,1.09
0.0,13.0,1745.0,1470.0,3,3,3.0,2.0,3.0,1745.0,1550.0,1250.0,0,0,1,581.6666666666666,1.0,2.0,1.75
0.0,94.0,2132.0,1795.0,3,3,2.0,5.0,3.0,2132.0,1800.0,1500.0,1,0,1,710.6666666666666,0.0,2.0,2.45
0.0,63.0,3160.0,2115.0,4,6,4.0,0.0,0.0,3160.0,2455.0,2240.0,1,0,1,790.0,2.0,0.0,6.75
0.0,105.0,2215.0,1849.0,4,4,4.0,0.0,3.0,2215.0,2214.0,2213.0,0,0,0,553.75,0.0,0.0,1.65
0.0,46.0,2191.0,1834.0,4,3,4.0,2.0,3.0,2191.0,2100.0,1800.0,0,0,1,547.75,2.0,0.0,1.55
0.0,98.0,583.0,2224.0,2,2,2.0,0.0,1.0,583.0,565.0,483.0,0,0,1,291.5,1.0,2.0,0.41
0.0,12.0,2779.0,2047.0,4,4,4.0,2.0,3.0,2779.0,2500.0,2300.0,1,0,1,694.75,0.0,2.0,2.0
0.0,6.0,2250.0,2036.0,3,3,4.0,2.0,3.0,2727.0,2500.0,2250.0,1,0,0,750.0,0.0,1.0,1.9
0.0,35.0,1150.0,1077.0,2,2,2.0,0.0,2.0,1150.0,1120.0,1050.0,0,1,0,575.0,2.0,0.0,1.35
0.0,100.0,1929.0,1625.0,3,3,1.0,5.0,3.0,1929.0,1550.0,1330.0,0,0,0,643.0,0.0,0.0,1.5
0.0,99.0,2808.0,2061.0,4,4,4.0,2.0,3.0,2812.0,2225.0,2175.0,0,0,0,702.0,1.0,2.0,2.03
